Brand,Model Name,Connectivity,Price,Ratings,Reviews
Samsung,"Galaxy A05 (Light Green, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",nan,"8,348",3.8,113
Samsung,"Galaxy A05 (Black, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",nan,"8,398",3.8,113
Samsung,Galaxy F15,5G,"12,499",3.9,216
Samsung,Galaxy A16,5G,"16,499",3.2,55
Samsung,Galaxy M55s,5G,"20,999",3.7,802
Samsung,Galaxy M55s,5G,"20,999",3.7,802
Samsung,"Galaxy A05 (Silver, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",nan,"8,394",3.8,113
Samsung,"Galaxy Watch6 Classic LTE (47mm, Black, Compatible with Android only) | Introducing BP & ECG Features",nan,"24,499",4.2,192
Samsung,Galaxy S23,5G,"45,995",4.2,68
Samsung,Galaxy A16,5G,"15,499",3.2,55
samsung,Galaxy A35,5G,"24,320",3.6,28
Samsung,Galaxy A16,5G,"16,499",3.2,55
Samsung,"Galaxy M04 Light Green,",4G,"7,999",4.0,"23,079"
Samsung,"Galaxy M13 (Aqua Green,",4G,nan,4.1,"11,802"
Samsung,Galaxy S23,5G,"48,969",4.3,110
Samsung,"Galaxy Watch6 Classic LTE (47mm, Silver, Compatible with Android only) | Introducing BP & ECG Features",nan,"24,499",4.2,192
Samsung,Galaxy M14,5G,nan,4.1,"19,298"
Samsung,Galaxy S23,5G,"44,900",4.4,163
Samsung,Galaxy F15,5G,"11,164",2.6,11
Samsung,Galaxy M15,5G,"14,499",3.8,"1,917"
Samsung,Galaxy A14,5G,"13,410",3.9,"2,421"
Samsung,"Galaxy A06 (Black,",4G,"8,450",4.0,5
